1,78499,3114,35836,115879,113149,131779,171281,1992,25775,169546
2,104996,136337,6304,173381,44731,175785,68128,27884,149662,26432
3,27001,149816,140281,27253,448,2395,115998,4674,4228,1696
4,125409,111345,123004,147843,138376,2252,169456,166332,119053,128356
5,98162,6944,146511,6720,5136,6455,127640,953,165689,128910
6,107207,89139,93801,8806,160014,81014,173221,26698,80447,131070
7,50999,103819,129199,167276,2907,154824,167786,114492,112210,133792
8,138796,60110,60106,544,150602,100141,1948,33136,165315,50796
9,72505,63222,136706,72574,153428,72507,2196,2680,5283,173381
10,7569,2990,114935,2991,25783,7570,2993,4444,2949,6564
11,88339,86604,168558,118892,53352,4859,8759,123308,130572,142909
12,5649,104671,26266,184,4030,1339,136363,26429,40425,112283
13,89613,145184,31934,99182,292,118089,156627,72393,171765,126783
14,103974,2759,9013,64620,113938,114048,52858,173331,129669,115967
15,151735,135875,155681,81788,108936,6222,71970,92881,156815,2223
16,128488,60286,92023,167438,96801,103212,124432,1308,97915,175053
17,162664,173699,40629,58246,167392,25808,171385,5450,77312,120400
18,133545,30776,93742,166950,175553,8997,151881,70740,44900,176231
19,5786,64288,157755,136934,7491,121352,84736,154594,124151,81200
20,141702,96669,4542,143919,5220,119037,4001,3735,54067,144282
21,32019,159769,111899,27758,121857,322,27360,143919,91564,137549
22,115831,72722,169806,1891,481,6290,74204,174669,3656,106006
23,4970,145158,91768,107145,51817,71409,150054,165525,132979,130390
24,169088,144466,157887,166918,6088,160155,8900,83006,134702,160984
25,60286,96801,8727,157192,167438,7627,103212,92023,16,113696
26,103683,2848,135767,106525,123439,121943,159658,98996,4745,174155
27,90239,89041,91335,8869,153875,32716,125613,70421,153714,2750
28,158078,74508,87923,98056,125039,148865,61937,165939,25898,80939
29,3271,102749,91894,6451,80465,124843,105744,164007,171833,123109
30,27094,5626,175135,101294,105290,171155,149432,161872,111815,139889
31,8931,57418,116849,118262,114048,165777,116473,147274,7340,2489
32,171969,158364,161288,164214,162544,56456,86778,2762,153873,164348
34,89670,2384,63479,2137,49647,172303,26776,48159,3269,6531
35,104595,95754,36152,25970,149978,104078,172305,174561,140487,105357
36,161600,147100,70048,73290,3272,175979,119878,116740,4933,110627
37,4216,67792,169014,78251,48770,164143,81156,43934,45639,134869
38,86846,27899,4141,6750,2059,1639,2740,172479,7121,155894
39,3072,7150,120092,164827,95705,33592,7340,103651,167258,2489
40,123244,7013,80154,1400,86902,49234,148260,134563,1694,42886
41,156002,2396,1224,94410,159658,64427,26915,32834,5491,81145
42,6821,162570,163468,32999,4916,174845,141731,107640,155864,141464
43,109364,161147,8769,1849,50253,95018,102305,168934,6416,136934
44,1681,136297,92817,130468,140958,158715,113889,2451,131714,110350
45,149602,138320,2489,136964,7703,5969,33592,6956,143009,91140
46,118300,6863,97332,155681,103269,60110,57951,135875,85344,139897
47,156698,139569,158591,142903,481,3863,139485,90382,8236,108864
48,124558,155605,134759,146150,138346,3894,100240,122019,2419,40581
49,83833,3627,91854,936,105355,159646,34353,5742,155945,5809
50,26774,144400,131082,89778,101137,167170,121438,122147,137030,3898
51,2914,95563,130814,1082,6837,172261,148196,3368,91110,100368
52,4481,128251,8907,198,106173,53574,92165,101062,128049,5299
53,132758,3613,124757,5496,128906,135348,93544,113216,53880,171451
54,48820,155018,160145,111259,109947,160533,162424,83605,143011,152270
55,108869,100185,53974,175549,988,80022,158619,5019,1158,153943
56,168344,122579,1881,164739,667,130692,136532,142811,123439,1849
57,27298,140854,166197,6222,151735,155681,155543,136371,81788,6319
58,131808,3874,168940,121316,138408,26991,38095,172827,71327,510
59,84103,151099,89164,153534,6870,93707,101999,335,169250,55691
60,149328,80899,168352,149836,152888,172055,5627,74791,89482,173857
61,536,151609,2853,4957,144510,147402,134513,48098,151735,122339
62,5277,139469,166245,2599,55241,104606,70629,96460,80358,54455
63,3785,44889,133107,5111,123210,172303,174507,165379,142030,84246
64,162080,90600,73834,162092,32243,370,155619,82926,104631,72741
65,111329,142232,5947,141922,73772,7638,4859,152944,7196,81257
66,89590,128143,5657,149596,86635,106214,122290,107209,45172,159970
67,55290,108983,141700,171731,98069,144674,131702,3954,171995,170105
68,85372,5399,1733,113152,157081,6953,78534,160128,42856,3392
69,3177,36276,154448,167080,113831,8668,83842,155892,111517,161157
70,2061,108588,140125,171213,79111,4106,108246,6434,147298,122098
71,4542,1833,102443,164761,548,56848,88515,162156,152031,2471
72,57418,125041,8183,88419,73015,98200,170941,147200,119800,31203
73,99149,140739,128882,115897,99560,164292,173271,121967,88911,72391
74,27347,142222,116317,140413,155411,136786,113323,88040,147621,152220
75,117740,80775,129311,1817,3013,112767,72724,91622,27598,4707
76,66789,171739,173353,6871,133377,167842,5814,171625,5622,150768
77,172989,164773,1170,137668,131088,6368,97194,45030,146564,155854
78,168324,57868,76751,126084,125041,139847,139553,176153,86295,174399
79,164785,136371,81788,5969,97973,68244,151735,2489,6940,165777
80,27786,50802,7217,104956,91286,168140,115871,164927,78014,116439
81,2027,129937,83258,3686,7394,2805,2866,145737,84366,143629
